carname,price,milage,hubraum,fuel_type,transmission,num_seats,num_doors,emission_class,car_type,num_owners,Model,power_ps,age
Mercedes-Benz C 300 de T AMG*NIGHT*DISTR* COMAND,38986.0,24210.0,1.95,Diesel,Automatik,5,4/5,Euro6d,kombi,1,C-Klasse,194.0,0.7466666666665939
Mercedes-Benz A 180 BlueEfficiency Urban Aut.*Navi*LED*Cam,20500.0,139890.0,2.143,Diesel,Schaltgetriebe,2,4/5,Euro6,andere,1,A-Klasse,136.0,4.329999999999927
Mercedes-Benz V 250 Marco Polo Edition 4-Matic *EasyUp *AMG,26666.0,82000.0,2.143,Diesel,Schaltgetriebe,9,4/5,Euro6,van,1,V-Klasse,136.0,3.2466666666665938
Mercedes-Benz Mercedes Benz Sprinter 319,37930.0,58754.0,2.143,Diesel,Automatik,5,4/5,Euro6,suv,1,Sprinter,204.0,4.16333333333326
Mercedes-Benz A 220 d*AMG ALU*LED*LEDER*NAVI*MBUX*WIDESCREEN*,39900.0,17208.0,1.597,Diesel,Automatik,5,4/5,Euro6,kombi,1,A-Klasse,160.0,0.6633333333332606
Mercedes-Benz C 63 AMG Cabrio*NAVI*LED*AIRSCARF*ACC*,74990.0,8500.0,2.999,Benzin,Automatik,5,4/5,Euro6d,suv,1,C-Klasse,367.0,2.5799999999999272
"Mercedes-Benz Mercedes-AMG S 63 4MATIC+ Keramik,4 Sitzpl.,VOLL",63800.0,20499.0,1.991,Benzin,Automatik,5,4/5,Euro6d,suv,1,S-Klasse,306.0,1.1633333333332607
Mercedes-Benz A 180 d Progressive+Night+MBUX+volldigi+Navi+18',27899.0,48114.0,1.461,Diesel,Automatik,5,4/5,Euro6d,limousine,1,A-Klasse,116.0,3.2466666666665938
Mercedes-Benz E 43 AMG T 4Matic Burmester/MultiBeam/Memory/AHK,27899.0,48114.0,1.461,Diesel,Automatik,5,4/5,Euro6d,limousine,1,E-Klasse,116.0,3.2466666666665938
Mercedes-Benz C 63 S AMG Lim.-AGA AMG-DRiVERS PACKAGE-360° KA,43900.0,130000.0,2.996,Benzin,Automatik,5,4/5,Euro6,kombi,1,C-Klasse,401.0,4.079999999999927
"Mercedes-Benz C 220 d T AMG Line, Night-P., DISTR., Standhz",29850.0,39000.0,1.598,Diesel,Schaltgetriebe,8,4/5,Euro6,van,1,C-Klasse,114.0,2.8299999999999272
Mercedes-Benz B 200 d Progressive DISTRONIC Kamera LED MBUX,48899.0,25600.0,1.95,Diesel,Automatik,5,4/5,Euro6d,kombi,1,B-Klasse,194.0,1.5799999999999272
Mercedes-Benz A 180 Kompaktlimousine DAB+PROGRESSIVE+TOTWINKEL,29850.0,39000.0,1.598,Diesel,Schaltgetriebe,8,4/5,Euro6,van,1,A-Klasse,114.0,2.8299999999999272
"Mercedes-Benz V 250 -Klasse 220 CDI d, BT d EDITION lang AHK N",48899.0,25600.0,1.95,Diesel,Automatik,5,4/5,Euro6d,kombi,1,V-Klasse,194.0,1.5799999999999272
Mercedes-Benz E350d ALL-TERRAiN|PANO|NAPPA|DiST|WiDE|20|FondTV,39980.0,77700.0,2.143,Diesel,Automatik,8,4/5,Euro6,van,1,E-Klasse,190.0,3.5799999999999272
Mercedes-Benz A 180 d+Limo+AMG Line+Kamera+Memory+Navi+MBUX,48590.0,69975.0,2.987,Diesel,Automatik,5,4/5,Euro6,kombi,1,A-Klasse,258.0,3.4966666666665938
Mercedes-Benz Mercedes c300 AMG,30980.0,20899.0,1.461,Diesel,Automatik,5,4/5,Euro6d,limousine,1,C-Klasse,116.0,1.5799999999999272
Mercedes-Benz E 200 9G-TRONIC AMG Line,23990.0,52500.0,2.143,Diesel,Automatik,5,4/5,Euro6,kombi,1,E-Klasse,170.0,4.246666666666594
Mercedes-Benz V -Klasse V 220 EDITION Sitzh. Navi Service neu,25880.0,52992.0,1.595,Benzin,Schaltgetriebe,5,4/5,Euro6d,suv,1,V-Klasse,122.0,1.746666666666594
Mercedes-Benz E 400 4M DISTRONIC+KAMERA360+BURMESTER+WIDESCREN,28800.0,72143.0,1.95,Diesel,Automatik,5,4/5,Euro6,kombi,2,E-Klasse,194.0,4.16333333333326
